Translation Key,Translated Value,Category
ammo-vog-25,Граната ВОГ-25,ammo
st_letter_to_outside_name,Письмо Натали,disassemble
st_data_export_is_junk,Мусорный,artefacts
st_bolt_carrier_6,Продольно-скользящий затвор с болтовым запиранием (Продольно-скользящий затвор),item_drop_locations
st_data_export_ammo_types_alt,Альт. боеприпасы,weapons
military_bandit_outfit_name,Трофейный бронекостюм «СКАТ-9»,outfit_exchange
ammo-7.92x33_ap,Патроны 7,92x57 мм БП,item_drop_locations
gamma_fire_wound_cap,Баллистический Предел,artefacts
l13_generators,Генераторы,item_drop_locations
st_af_fonar_name,"Фонарь",artefact_recipes
st_gamma_recipe_expert_1,Руководство выживания Том 3,disassemble
st_af_dragon_eye_name,"Глаз дракона",artefacts
st_data_export_post_heal_torso,Полностью торс,medicine
st_wpn_glock17,Glock 17,weapons
mutant_psysucker_meat,Мясо пси-кровососа,mutant_parts
st_af_frames_name,Алюминиевые рамки,disassemble
cs_stalker_outfit_name,Комбинезон ЧН-2б,outfit_exchange
st_wpn_brn180,BRN-180,weapon_drops
st_data_export_can_be_crafted,Можно скрафтить,artefacts
merc_coyote_outfit_name,Средний тактический костюм «Койот»,outfit_exchange
st_af_cristall_flower_name,«Каменный цветок»,artefact_recipes
ui_inv_outfit_additional_weight,Грузоподъёмность,belt_attachments
st_powder_pistol,Порох для пистолетов/дробовиков,disassemble
st_af_ah_r3_descr,Артефакт, встречающийся только в Мёртвом Лесу к югу от Лаборатории X-9 и содержащий в основном растительную материю. Считается, что сильные пси-поля, воздействию которых он был подвержен во время своего формирования, оказали значительное воздействие на форму и свойства этого артефакта. Благодаря этому он предоставляет уникальную возможность исследовать влияние этих пока еще не вполне изученных явлений.,artefacts
st_ration_ru,Российский рацион питания ИРП-Б,eatable
st_prt_w_p_trigger_1,Однорежимный УСМ (Спусковой крючок),item_drop_locations
st_af_ah_s1_descr,Экспериментальный и нестабильный артефакт, созданный искусственным путём. Где и при каких обстоятельствах он образовался, неизвестно. Кажется, что он улучшает естественный процесс исцеления организма, однако при этом он испускает сильные всплески ?-излучения. Не рекомендуется находиться в непосредственной близости от этого артефакта в течение длительных периодов времени.,artefacts
st_wpn_pl15_pl15_scolaz,Пистолет Лебедева ПЛ-15 "Тактик",weapons
mutant_heart_chimera,Сердце химеры,mutant_parts
st_wpn_fnx45_custom,Заказной FNX-45 Tactical,weapon_drops
st_drug_booster,Геркулес,disassemble
merc_sun_outfit_name,Тактический комбинезон «Сумрак»,outfit_exchange
st_grease,Промышленная смазка,disassemble
st_ball_hammer,Шариковый молоток,disassemble
st_af_frames_up_name,Алюминиевый элемент каркаса,disassemble
st_gas_tube_3,Газовая трубка [В] (Газовая трубка),item_drop_locations
st_wpn_ak105,АК-105,weapon_drops
st_knife_swat,Нож спецназа,melee
st_af_electra_flash_name,«Вспышка»,artefact_recipes
st_glue_a,Тюбик клея «Tur»,disassemble
st_army_bowler,Армейский котелок,disassemble
st_data_export_post_heal_arm,Полностью руки,medicine
st_wpn_mossberg590a1,Mossberg 590A1,weapon_drops
st_prt_w_p_barrel_6,Закрытый ствол 9x18 мм (Ствол),item_drop_locations
trenchcoat_outfit_name,Плащ,outfit_exchange
ammo-5.56x45-fmj,Патроны 5,56x45 мм FMJ,item_drop_locations
st_itm_mapkit_8,Карта аномалий (Свалка),disassemble
st_prt_o_ballistic_4,Пластины из кевлара «К129» с композитом из углеродного волокна,item_drop_locations
l03_agroprom,Агропром,item_drop_locations
st_prt_i_fasteners,Крепёжные детали,disassemble
st_headlamp,Старая лампа фонарика,disassemble
st_prt_i_plastic,Полиэтиленовая плёнка,disassemble
st_wpn_sks_b,СКС-45,weapon_drops
l02_garbage,Свалка,item_drop_locations
st_prt_w_p_spring_1,Возвратная пружина 9 мм (Пружина),item_drop_locations
light_freedom_outfit_name,Бронежилет «Защитник свободы»,item_drop_locations
st_antirad_cystamine,Цистамин,medicine
st_wpn_thompson_1921,Автомат Томпсона 1921,weapon_drops
st_tarpaulin,Камуфляжный брезент,disassemble
st_af_plates_up_name,Улучшенные стальные бронепластины,disassemble
st_af_ah_o1,Аномальный образец "Магнит",artefacts
st_af_ah_g2,Аномальный образец "Лёгкое",artefacts
st_wpn_bizon,ПП-19 «Бизон»,weapon_drops
st_wpn_k98_mod,Mauser 98k "Лесник",weapon_drops
mutant_fang_psevdodog,Клык псевдособаки,mutant_parts
st_data_export_stash_type,Тип схрона,item_drop_locations
military_exolight_outfit_name,Тяжёлый армейский бронекостюм,outfit_exchange
st_wpn_sig550,SIG SG550,weapon_drops
jupiter_underground,Путепровод «Припять-1»,item_drop_locations
st_prt_o_retardant_1,Многослойные огнестойкие ткани,disassemble
ammo-12x76-bull,Патроны 12x76 мм «Bull»,ammo
st_wpn_glock,Glock 19,weapon_drops
monolith_outfit_name,Комбинезон «Монолита»,outfit_exchange
st_hide_pseudodog_name,Шкура псевдособаки,mutant_parts
mutant_krovosos_jaw,Щупальца кровососа,mutant_parts
st_wpn_sr25,SR-25,weapon_drops
